__row_id,submitted,stats.views,stats.version_views,stats.version_unique_views,stats.version_unique_downloads,stats.version_downloads,stats.unique_views,stats.unique_downloads,stats.downloads,revision,recid,id,conceptrecid,updated,state,owners,modified,metadata.title,metadata.resource_type.type,metadata.resource_type.title,metadata.relations.version,metadata.license.id,metadata.doi,metadata.creators,metadata.access_right,links.versions,links.self_iiif_sequence,source,collected_at,CoapplicantIncome,ApplicantIncome,LoanAmount,Credit_History,Property_Area,Loan_ID,Education,Married,Gender,Dependents,Self_Employed,auto_label,confidence,reason
466,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,0.0,8333.0,246.0,1.0,Semiurban,LP002543,Graduate,Yes,Male,2,No,tier_2,0.85,rule_1:0.0 <= 0.0 < 1211.5
296,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,2500.0,4000.0,140.0,1.0,Rural,LP001978,Graduate,No,Male,0,No,tier_4,0.65,rule_3:2500.0 >= 2250.0
133,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,7750.0,4000.0,290.0,1.0,Semiurban,LP001488,Graduate,Yes,Male,3+,No,tier_4,0.65,rule_3:7750.0 >= 2250.0
491,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,2004.0,6065.0,250.0,1.0,Semiurban,LP002640,Graduate,Yes,Male,1,No,tier_3,0.75,rule_2:1211.5 <= 2004.0 < 2250.0
28,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,0.0,1442.0,35.0,1.0,Urban,LP001086,Not Graduate,No,Male,0,No,tier_2,0.85,rule_1:0.0 <= 0.0 < 1211.5
202,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,0.0,3418.0,127.0,1.0,Semiurban,LP001702,Graduate,No,Male,0,No,tier_2,0.85,rule_1:0.0 <= 0.0 < 1211.5
335,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,3230.0,3523.0,152.0,0.0,Rural,LP002130,Not Graduate,Yes,Male,0,No,tier_4,0.65,rule_3:3230.0 >= 2250.0
32,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,0.0,4692.0,106.0,1.0,Rural,LP001097,Graduate,No,Male,1,Yes,tier_2,0.85,rule_1:0.0 <= 0.0 < 1211.5
46,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,0.0,5649.0,44.0,1.0,Urban,LP001138,Graduate,Yes,Male,1,No,tier_2,0.85,rule_1:0.0 <= 0.0 < 1211.5
486,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,4416.0,3510.0,243.0,1.0,Rural,LP002622,Graduate,Yes,Male,2,No,tier_4,0.65,rule_3:4416.0 >= 2250.0
514,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,3906.0,6133.0,324.0,1.0,Urban,LP002734,Graduate,Yes,Male,0,No,tier_4,0.65,rule_3:3906.0 >= 2250.0
106,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,1126.0,11417.0,225.0,1.0,Urban,LP001369,Graduate,Yes,Male,2,No,tier_2,0.85,rule_1:0.0 <= 1126.0 < 1211.5
355,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,0.0,2500.0,96.0,1.0,Semiurban,LP002187,Graduate,No,Male,0,No,tier_2,0.85,rule_1:0.0 <= 0.0 < 1211.5
562,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,1522.0,2297.0,104.0,1.0,Urban,LP002916,Graduate,Yes,Male,0,No,tier_3,0.75,rule_2:1211.5 <= 1522.0 < 2250.0
305,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,1843.0,2473.0,159.0,1.0,Rural,LP002024,Graduate,Yes,Male,0,No,tier_3,0.75,rule_2:1211.5 <= 1843.0 < 2250.0
54,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,0.0,11500.0,286.0,0.0,Urban,LP001186,Graduate,Yes,Female,1,Yes,tier_2,0.85,rule_1:0.0 <= 0.0 < 1211.5
217,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,0.0,6250.0,128.0,1.0,Semiurban,LP001750,Graduate,Yes,Male,0,No,tier_2,0.85,rule_1:0.0 <= 0.0 < 1211.5
364,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,0.0,4310.0,130.0,1.0,Semiurban,LP002223,Graduate,Yes,Male,0,No,tier_2,0.85,rule_1:0.0 <= 0.0 < 1211.5
125,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,0.0,3692.0,93.0,1.0,Rural,LP001443,Graduate,No,Female,0,No,tier_2,0.85,rule_1:0.0 <= 0.0 < 1211.5
496,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,1632.0,2031.0,113.0,1.0,Semiurban,LP002670,Graduate,Yes,Female,2,No,tier_3,0.75,rule_2:1211.5 <= 1632.0 < 2250.0
242,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,1868.0,1809.0,90.0,1.0,Urban,LP001825,Graduate,Yes,Male,0,No,tier_3,0.75,rule_2:1211.5 <= 1868.0 < 2250.0
357,True,100.0,103.0,101.0,53.0,54.0,101.0,53.0,54.0,8.0,3233661.0,3233661.0,3233660.0,2024-07-22T22:44:27.990145+00:00,done,[{'id': '67269'}],2024-07-22T22:44:27.990145+00:00,Basel II Sermaye Yeterliliği Düzenlemesinin AB İpotekli Konut Finansman (Mortgage) Piyasalarına Etkisi: Karşılaştırmalı Bir İnceleme,publication,Journal article,"[{'index': 0, 'is_last': True, 'parent': {'pid_type': 'recid', 'pid_value': '3233660'}}]",cc-by-4.0,10.5281/zenodo.3233661,"[{'name': 'Aksoy, Tamer', 'affiliation': None, 'orcid': '0000-0001-6483-4547'}]",open,https://zenodo.org/api/records/3233661/versions,https://zenodo.org/api/iiif/record:3233661/sequence/default,hf:LoanApprovalPrediction,2026-03-29_00-43,0.0,6325.0,175.0,1.0,Semiurban,LP002190,Graduate,Yes,Male,1,No,tier_2,0.85,rule_1:0.0 <= 0.0 < 1211.5
